City,Month,UV Index
Alice Springs,January,14.69
Alice Springs,February,15.32
Alice Springs,March,13.15
Alice Springs,April,10.52
Alice Springs,May,7.48
Alice Springs,June,5.87
Alice Springs,July,6.44
Alice Springs,August,8.04
Alice Springs,September,10.04
Alice Springs,October,12.25
Alice Springs,November,13.23
Alice Springs,December,12.89
Adelaide,January,13.61
Adelaide,February,11.99
Adelaide,March,11.35
Adelaide,April,7.7
Adelaide,May,4.7
Adelaide,June,2.9
Adelaide,July,3.5
Adelaide,August,4.49
Adelaide,September,7.07
Adelaide,October,9.98
Adelaide,November,11.17
Adelaide,December,12.8
Perth,January,13.37
Perth,February,13.56
Perth,March,10.8
Perth,April,7.65
Perth,May,5.25
Perth,June,3.58
Perth,July,3.72
Perth,August,5.77
Perth,September,7.72
Perth,October,10.12
Perth,November,11.48
Perth,December,14
Melbourne,January,12.18
Melbourne,February,10.75
Melbourne,March,8.96
Melbourne,April,5.98
Melbourne,May,3.45
Melbourne,June,2.2
Melbourne,July,2.39
Melbourne,August,3.88
Melbourne,September,5.8
Melbourne,October,8.31
Melbourne,November,11.89
Melbourne,December,13.62
Kingston,January,11.77
Kingston,February,9.93
Kingston,March,7.43
Kingston,April,4.88
Kingston,May,2.34
Kingston,June,1.49
Kingston,July,1.71
Kingston,August,2.9
Kingston,September,5.06
Kingston,October,7.93
Kingston,November,11.09
Kingston,December,11.73
Canberra,January,13.28
Canberra,February,12.16
Canberra,March,9.91
Canberra,April,6.92
Canberra,May,3.85
Canberra,June,2.7
Canberra,July,3.17
Canberra,August,4.49
Canberra,September,6.53
Canberra,October,8.95
Canberra,November,11.61
Canberra,December,11.55
Brisbane,January,16.1
Brisbane,February,14.23
Brisbane,March,12.68
Brisbane,April,9.29
Brisbane,May,6.73
Brisbane,June,4.48
Brisbane,July,5.11
Brisbane,August,6.73
Brisbane,September,9.76
Brisbane,October,11.19
Brisbane,November,13.48
Brisbane,December,13.97
Sydney,January,14.11
Sydney,February,12.81
Sydney,March,11.9
Sydney,April,7
Sydney,May,4.7
Sydney,June,3.13
Sydney,July,3.39
Sydney,August,4.91
Sydney,September,7.1
Sydney,October,9.8
Sydney,November,11.26
Sydney,December,13.53
