Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)","Age-standardised rate
(per 100,000)",Mean age (years),Median age (years),,ICD10 codes
Actual,Melanoma of the skin,1982,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,10–14,1,0.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,15–19,3,0.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,20–24,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,25–29,5,0.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,30–34,19,3.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,35–39,25,4.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,40–44,23,5.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,45–49,30,7.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,50–54,39,9.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,55–59,42,11.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,60–64,36,11.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,65–69,59,23.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,70–74,49,26.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,75–79,21,19.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,80–84,14,25.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,85–89,5,24.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,90+,2,26.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1982,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,15–19,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,20–24,7,1.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,25–29,7,1.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,30–34,21,3.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,35–39,22,3.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,40–44,24,5.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,45–49,16,4.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,50–54,35,9.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,55–59,43,11.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,60–64,51,16.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,65–69,43,17.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,70–74,42,22.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,75–79,24,20.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,80–84,18,31.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,85–89,7,33.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,90+,1,12.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1983,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,00–04,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,10–14,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,15–19,2,0.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,20–24,6,0.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,25–29,13,2.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,30–34,19,3.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,35–39,21,3.5,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,40–44,21,4.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,45–49,27,6.7,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,50–54,39,10.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,55–59,49,12.8,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,60–64,59,17.6,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,65–69,52,20.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,70–74,36,18.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,75–79,29,24.1,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,80–84,14,22.9,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,85–89,6,27.4,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,90+,4,48.3,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1984,Males,Unknown,0,. .,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,00–04,1,0.2,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,05–09,0,0.0,. .,. .,. ., ,C43
Actual,Melanoma of the skin,1985,Males,10–14,0,0.0,. .,. .,. ., ,C43
