Cancer type (ICD-10 codes),Cancer type,RD-stage,Sex,Age group (years),Years after diagnosis,Survival (%),95% lower bound,95% upper bound,95% confidence interval
Melanoma of the skin (C43),Melanoma of the skin,I,Males,0–39,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,40–44,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,45–49,1,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,50–54,1,100.0,98.6,100.3,98.6–100.3
Melanoma of the skin (C43),Melanoma of the skin,I,Males,55–59,1,100.0,99.1,100.4,99.1–100.4
Melanoma of the skin (C43),Melanoma of the skin,I,Males,60–64,1,100.0,99.5,100.7,99.5–100.7
Melanoma of the skin (C43),Melanoma of the skin,I,Males,65–69,1,100.0,99.2,100.9,99.2–100.9
Melanoma of the skin (C43),Melanoma of the skin,I,Males,70–74,1,100.0,98.4,100.9,98.4–100.9
Melanoma of the skin (C43),Melanoma of the skin,I,Males,75–79,1,99.4,96.9,101.0,96.9–101.0
Melanoma of the skin (C43),Melanoma of the skin,I,Males,80–84,1,99.1,95.6,101.5,95.6–101.5
Melanoma of the skin (C43),Melanoma of the skin,I,Males,85+,1,100.0,97.5,106.5,97.5–106.5
Melanoma of the skin (C43),Melanoma of the skin,I,Males,Total,1,100.0,99.7,100.5,99.7–100.5
Melanoma of the skin (C43),Melanoma of the skin,I,Males,0–39,2,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,40–44,2,100.0, , ,
Melanoma of the skin (C43),Melanoma of the skin,I,Males,45–49,2,99.5,97.3,100.2,97.3–100.2
Melanoma of the skin (C43),Melanoma of the skin,I,Males,50–54,2,100.0,98.7,100.6,98.7–100.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,55–59,2,100.0,98.7,100.6,98.7–100.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,60–64,2,100.0,98.8,100.8,98.8–100.8
Melanoma of the skin (C43),Melanoma of the skin,I,Males,65–69,2,100.0,98.6,101.2,98.6–101.2
Melanoma of the skin (C43),Melanoma of the skin,I,Males,70–74,2,99.5,97.3,101.0,97.3–101.0
Melanoma of the skin (C43),Melanoma of the skin,I,Males,75–79,2,99.2,95.9,101.6,95.9–101.6
Melanoma of the skin (C43),Melanoma of the skin,I,Males,80–84,2,98.5,93.8,102.3,93.8–102.3
Melanoma of the skin (C43),Melanoma of the skin,I,Males,85+,2,100.0,93.2,107.7,93.2–107.7
