Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,1982,Males,00–04,0
Actual,Melanoma of the skin,1982,Males,05–09,0
Actual,Melanoma of the skin,1982,Males,10–14,6
Actual,Melanoma of the skin,1982,Males,15–19,30
Actual,Melanoma of the skin,1982,Males,20–24,52
Actual,Melanoma of the skin,1982,Males,25–29,82
Actual,Melanoma of the skin,1982,Males,30–34,128
Actual,Melanoma of the skin,1982,Males,35–39,115
Actual,Melanoma of the skin,1982,Males,40–44,133
Actual,Melanoma of the skin,1982,Males,45–49,131
Actual,Melanoma of the skin,1982,Males,50–54,179
Actual,Melanoma of the skin,1982,Males,55–59,195
Actual,Melanoma of the skin,1982,Males,60–64,201
Actual,Melanoma of the skin,1982,Males,65–69,187
Actual,Melanoma of the skin,1982,Males,70–74,145
Actual,Melanoma of the skin,1982,Males,75–79,82
Actual,Melanoma of the skin,1982,Males,80–84,54
Actual,Melanoma of the skin,1982,Males,85–89,14
Actual,Melanoma of the skin,1982,Males,90+,4
Actual,Melanoma of the skin,1983,Males,00–04,1
Actual,Melanoma of the skin,1983,Males,05–09,2
Actual,Melanoma of the skin,1983,Males,10–14,4
Actual,Melanoma of the skin,1983,Males,15–19,27
Actual,Melanoma of the skin,1983,Males,20–24,51
Actual,Melanoma of the skin,1983,Males,25–29,77
Actual,Melanoma of the skin,1983,Males,30–34,125
Actual,Melanoma of the skin,1983,Males,35–39,135
Actual,Melanoma of the skin,1983,Males,40–44,125
Actual,Melanoma of the skin,1983,Males,45–49,139
Actual,Melanoma of the skin,1983,Males,50–54,171
Actual,Melanoma of the skin,1983,Males,55–59,203
Actual,Melanoma of the skin,1983,Males,60–64,228
Actual,Melanoma of the skin,1983,Males,65–69,204
Actual,Melanoma of the skin,1983,Males,70–74,155
Actual,Melanoma of the skin,1983,Males,75–79,108
Actual,Melanoma of the skin,1983,Males,80–84,38
Actual,Melanoma of the skin,1983,Males,85–89,16
Actual,Melanoma of the skin,1983,Males,90+,10
Actual,Melanoma of the skin,1984,Males,00–04,0
Actual,Melanoma of the skin,1984,Males,05–09,1
Actual,Melanoma of the skin,1984,Males,10–14,4
Actual,Melanoma of the skin,1984,Males,15–19,35
Actual,Melanoma of the skin,1984,Males,20–24,55
Actual,Melanoma of the skin,1984,Males,25–29,92
Actual,Melanoma of the skin,1984,Males,30–34,110
Actual,Melanoma of the skin,1984,Males,35–39,133
Actual,Melanoma of the skin,1984,Males,40–44,158
Actual,Melanoma of the skin,1984,Males,45–49,155
Actual,Melanoma of the skin,1984,Males,50–54,192
Actual,Melanoma of the skin,1984,Males,55–59,209
Actual,Melanoma of the skin,1984,Males,60–64,223
Actual,Melanoma of the skin,1984,Males,65–69,225
Actual,Melanoma of the skin,1984,Males,70–74,196
Actual,Melanoma of the skin,1984,Males,75–79,120
Actual,Melanoma of the skin,1984,Males,80–84,54
Actual,Melanoma of the skin,1984,Males,85–89,24
Actual,Melanoma of the skin,1984,Males,90+,7
Actual,Melanoma of the skin,1985,Males,00–04,0
Actual,Melanoma of the skin,1985,Males,05–09,0
Actual,Melanoma of the skin,1985,Males,10–14,2
Actual,Melanoma of the skin,1985,Males,15–19,27
Actual,Melanoma of the skin,1985,Males,20–24,58
Actual,Melanoma of the skin,1985,Males,25–29,107
Actual,Melanoma of the skin,1985,Males,30–34,137
Actual,Melanoma of the skin,1985,Males,35–39,162
Actual,Melanoma of the skin,1985,Males,40–44,167
Actual,Melanoma of the skin,1985,Males,45–49,158
Actual,Melanoma of the skin,1985,Males,50–54,196
Actual,Melanoma of the skin,1985,Males,55–59,255
Actual,Melanoma of the skin,1985,Males,60–64,264
Actual,Melanoma of the skin,1985,Males,65–69,239
Actual,Melanoma of the skin,1985,Males,70–74,214
Actual,Melanoma of the skin,1985,Males,75–79,126
Actual,Melanoma of the skin,1985,Males,80–84,68
Actual,Melanoma of the skin,1985,Males,85–89,30
Actual,Melanoma of the skin,1985,Males,90+,8
Actual,Melanoma of the skin,1986,Males,00–04,1
Actual,Melanoma of the skin,1986,Males,05–09,0
Actual,Melanoma of the skin,1986,Males,10–14,7
Actual,Melanoma of the skin,1986,Males,15–19,40
Actual,Melanoma of the skin,1986,Males,20–24,61
Actual,Melanoma of the skin,1986,Males,25–29,102
Actual,Melanoma of the skin,1986,Males,30–34,157
Actual,Melanoma of the skin,1986,Males,35–39,186
Actual,Melanoma of the skin,1986,Males,40–44,190
Actual,Melanoma of the skin,1986,Males,45–49,185
Actual,Melanoma of the skin,1986,Males,50–54,196
Actual,Melanoma of the skin,1986,Males,55–59,257
Actual,Melanoma of the skin,1986,Males,60–64,284
Actual,Melanoma of the skin,1986,Males,65–69,256
Actual,Melanoma of the skin,1986,Males,70–74,219
Actual,Melanoma of the skin,1986,Males,75–79,149
Actual,Melanoma of the skin,1986,Males,80–84,77
Actual,Melanoma of the skin,1986,Males,85–89,24
Actual,Melanoma of the skin,1986,Males,90+,12
Actual,Melanoma of the skin,1987,Males,00–04,1
Actual,Melanoma of the skin,1987,Males,05–09,0
Actual,Melanoma of the skin,1987,Males,10–14,7
Actual,Melanoma of the skin,1987,Males,15–19,40
Actual,Melanoma of the skin,1987,Males,20–24,76
Actual,Melanoma of the skin,1987,Males,25–29,145
Actual,Melanoma of the skin,1987,Males,30–34,190
Actual,Melanoma of the skin,1987,Males,35–39,225
Actual,Melanoma of the skin,1987,Males,40–44,242
Actual,Melanoma of the skin,1987,Males,45–49,208
Actual,Melanoma of the skin,1987,Males,50–54,223
Actual,Melanoma of the skin,1987,Males,55–59,302
Actual,Melanoma of the skin,1987,Males,60–64,343
Actual,Melanoma of the skin,1987,Males,65–69,312
Actual,Melanoma of the skin,1987,Males,70–74,260
Actual,Melanoma of the skin,1987,Males,75–79,169
Actual,Melanoma of the skin,1987,Males,80–84,99
Actual,Melanoma of the skin,1987,Males,85–89,24
Actual,Melanoma of the skin,1987,Males,90+,10
Actual,Melanoma of the skin,1988,Males,00–04,0
Actual,Melanoma of the skin,1988,Males,05–09,0
Actual,Melanoma of the skin,1988,Males,10–14,4
Actual,Melanoma of the skin,1988,Males,15–19,56
Actual,Melanoma of the skin,1988,Males,20–24,90
Actual,Melanoma of the skin,1988,Males,25–29,162
Actual,Melanoma of the skin,1988,Males,30–34,188
Actual,Melanoma of the skin,1988,Males,35–39,228
Actual,Melanoma of the skin,1988,Males,40–44,265
Actual,Melanoma of the skin,1988,Males,45–49,256
Actual,Melanoma of the skin,1988,Males,50–54,286
Actual,Melanoma of the skin,1988,Males,55–59,311
Actual,Melanoma of the skin,1988,Males,60–64,352
Actual,Melanoma of the skin,1988,Males,65–69,345
Actual,Melanoma of the skin,1988,Males,70–74,281
Actual,Melanoma of the skin,1988,Males,75–79,202
Actual,Melanoma of the skin,1988,Males,80–84,96
Actual,Melanoma of the skin,1988,Males,85–89,60
Actual,Melanoma of the skin,1988,Males,90+,14
Actual,Melanoma of the skin,1989,Males,00–04,1
Actual,Melanoma of the skin,1989,Males,05–09,1
Actual,Melanoma of the skin,1989,Males,10–14,12
Actual,Melanoma of the skin,1989,Males,15–19,37
Actual,Melanoma of the skin,1989,Males,20–24,66
Actual,Melanoma of the skin,1989,Males,25–29,110
Actual,Melanoma of the skin,1989,Males,30–34,171
Actual,Melanoma of the skin,1989,Males,35–39,213
Actual,Melanoma of the skin,1989,Males,40–44,267
Actual,Melanoma of the skin,1989,Males,45–49,245
Actual,Melanoma of the skin,1989,Males,50–54,233
Actual,Melanoma of the skin,1989,Males,55–59,272
Actual,Melanoma of the skin,1989,Males,60–64,406
Actual,Melanoma of the skin,1989,Males,65–69,360
Actual,Melanoma of the skin,1989,Males,70–74,290
Actual,Melanoma of the skin,1989,Males,75–79,224
Actual,Melanoma of the skin,1989,Males,80–84,133
Actual,Melanoma of the skin,1989,Males,85–89,53
Actual,Melanoma of the skin,1989,Males,90+,15
Actual,Melanoma of the skin,1990,Males,00–04,1
Actual,Melanoma of the skin,1990,Males,05–09,1
Actual,Melanoma of the skin,1990,Males,10–14,4
Actual,Melanoma of the skin,1990,Males,15–19,47
Actual,Melanoma of the skin,1990,Males,20–24,64
Actual,Melanoma of the skin,1990,Males,25–29,116
Actual,Melanoma of the skin,1990,Males,30–34,172
Actual,Melanoma of the skin,1990,Males,35–39,194
Actual,Melanoma of the skin,1990,Males,40–44,271
Actual,Melanoma of the skin,1990,Males,45–49,247
Actual,Melanoma of the skin,1990,Males,50–54,283
Actual,Melanoma of the skin,1990,Males,55–59,271
Actual,Melanoma of the skin,1990,Males,60–64,363
Actual,Melanoma of the skin,1990,Males,65–69,348
Actual,Melanoma of the skin,1990,Males,70–74,322
Actual,Melanoma of the skin,1990,Males,75–79,236
Actual,Melanoma of the skin,1990,Males,80–84,135
Actual,Melanoma of the skin,1990,Males,85–89,60
Actual,Melanoma of the skin,1990,Males,90+,14
Actual,Melanoma of the skin,1991,Males,00–04,1
Actual,Melanoma of the skin,1991,Males,05–09,1
Actual,Melanoma of the skin,1991,Males,10–14,8
Actual,Melanoma of the skin,1991,Males,15–19,53
Actual,Melanoma of the skin,1991,Males,20–24,63
Actual,Melanoma of the skin,1991,Males,25–29,127
Actual,Melanoma of the skin,1991,Males,30–34,163
Actual,Melanoma of the skin,1991,Males,35–39,202
Actual,Melanoma of the skin,1991,Males,40–44,257
Actual,Melanoma of the skin,1991,Males,45–49,263
Actual,Melanoma of the skin,1991,Males,50–54,256
Actual,Melanoma of the skin,1991,Males,55–59,282
Actual,Melanoma of the skin,1991,Males,60–64,341
Actual,Melanoma of the skin,1991,Males,65–69,361
Actual,Melanoma of the skin,1991,Males,70–74,332
Actual,Melanoma of the skin,1991,Males,75–79,252
Actual,Melanoma of the skin,1991,Males,80–84,153
Actual,Melanoma of the skin,1991,Males,85–89,60
Actual,Melanoma of the skin,1991,Males,90+,11
Actual,Melanoma of the skin,1992,Males,00–04,1
Actual,Melanoma of the skin,1992,Males,05–09,1
Actual,Melanoma of the skin,1992,Males,10–14,5
Actual,Melanoma of the skin,1992,Males,15–19,39
Actual,Melanoma of the skin,1992,Males,20–24,91
Actual,Melanoma of the skin,1992,Males,25–29,115
Actual,Melanoma of the skin,1992,Males,30–34,151
Actual,Melanoma of the skin,1992,Males,35–39,221
Actual,Melanoma of the skin,1992,Males,40–44,281
Actual,Melanoma of the skin,1992,Males,45–49,288
Actual,Melanoma of the skin,1992,Males,50–54,276
Actual,Melanoma of the skin,1992,Males,55–59,317
Actual,Melanoma of the skin,1992,Males,60–64,431
Actual,Melanoma of the skin,1992,Males,65–69,440
Actual,Melanoma of the skin,1992,Males,70–74,365
Actual,Melanoma of the skin,1992,Males,75–79,305
Actual,Melanoma of the skin,1992,Males,80–84,173
Actual,Melanoma of the skin,1992,Males,85–89,60
Actual,Melanoma of the skin,1992,Males,90+,26
Actual,Melanoma of the skin,1993,Males,00–04,0
Actual,Melanoma of the skin,1993,Males,05–09,1
Actual,Melanoma of the skin,1993,Males,10–14,11
Actual,Melanoma of the skin,1993,Males,15–19,39
Actual,Melanoma of the skin,1993,Males,20–24,76
Actual,Melanoma of the skin,1993,Males,25–29,121
Actual,Melanoma of the skin,1993,Males,30–34,144
Actual,Melanoma of the skin,1993,Males,35–39,224
Actual,Melanoma of the skin,1993,Males,40–44,253
Actual,Melanoma of the skin,1993,Males,45–49,299
Actual,Melanoma of the skin,1993,Males,50–54,300
Actual,Melanoma of the skin,1993,Males,55–59,322
Actual,Melanoma of the skin,1993,Males,60–64,409
Actual,Melanoma of the skin,1993,Males,65–69,453
Actual,Melanoma of the skin,1993,Males,70–74,435
Actual,Melanoma of the skin,1993,Males,75–79,343
Actual,Melanoma of the skin,1993,Males,80–84,183
Actual,Melanoma of the skin,1993,Males,85–89,72
Actual,Melanoma of the skin,1993,Males,90+,28
Actual,Melanoma of the skin,1994,Males,00–04,0
Actual,Melanoma of the skin,1994,Males,05–09,0
Actual,Melanoma of the skin,1994,Males,10–14,10
Actual,Melanoma of the skin,1994,Males,15–19,34
Actual,Melanoma of the skin,1994,Males,20–24,89
Actual,Melanoma of the skin,1994,Males,25–29,134
Actual,Melanoma of the skin,1994,Males,30–34,172
Actual,Melanoma of the skin,1994,Males,35–39,228
Actual,Melanoma of the skin,1994,Males,40–44,271
Actual,Melanoma of the skin,1994,Males,45–49,337
Actual,Melanoma of the skin,1994,Males,50–54,353
Actual,Melanoma of the skin,1994,Males,55–59,346
Actual,Melanoma of the skin,1994,Males,60–64,390
Actual,Melanoma of the skin,1994,Males,65–69,432
Actual,Melanoma of the skin,1994,Males,70–74,406
Actual,Melanoma of the skin,1994,Males,75–79,324
Actual,Melanoma of the skin,1994,Males,80–84,201
Actual,Melanoma of the skin,1994,Males,85–89,82
Actual,Melanoma of the skin,1994,Males,90+,22
Actual,Melanoma of the skin,1995,Males,00–04,0
Actual,Melanoma of the skin,1995,Males,05–09,1
Actual,Melanoma of the skin,1995,Males,10–14,7
Actual,Melanoma of the skin,1995,Males,15–19,59
Actual,Melanoma of the skin,1995,Males,20–24,86
Actual,Melanoma of the skin,1995,Males,25–29,137
Actual,Melanoma of the skin,1995,Males,30–34,172
Actual,Melanoma of the skin,1995,Males,35–39,224
Actual,Melanoma of the skin,1995,Males,40–44,323
Actual,Melanoma of the skin,1995,Males,45–49,335
Actual,Melanoma of the skin,1995,Males,50–54,359
Actual,Melanoma of the skin,1995,Males,55–59,393
Actual,Melanoma of the skin,1995,Males,60–64,419
Actual,Melanoma of the skin,1995,Males,65–69,498
Actual,Melanoma of the skin,1995,Males,70–74,475
Actual,Melanoma of the skin,1995,Males,75–79,330
Actual,Melanoma of the skin,1995,Males,80–84,215
Actual,Melanoma of the skin,1995,Males,85–89,102
Actual,Melanoma of the skin,1995,Males,90+,26
Actual,Melanoma of the skin,1996,Males,00–04,1
Actual,Melanoma of the skin,1996,Males,05–09,2
Actual,Melanoma of the skin,1996,Males,10–14,8
Actual,Melanoma of the skin,1996,Males,15–19,55
Actual,Melanoma of the skin,1996,Males,20–24,69
Actual,Melanoma of the skin,1996,Males,25–29,154
Actual,Melanoma of the skin,1996,Males,30–34,158
Actual,Melanoma of the skin,1996,Males,35–39,229
Actual,Melanoma of the skin,1996,Males,40–44,308
Actual,Melanoma of the skin,1996,Males,45–49,380
Actual,Melanoma of the skin,1996,Males,50–54,392
Actual,Melanoma of the skin,1996,Males,55–59,376
Actual,Melanoma of the skin,1996,Males,60–64,405
Actual,Melanoma of the skin,1996,Males,65–69,505
Actual,Melanoma of the skin,1996,Males,70–74,507
Actual,Melanoma of the skin,1996,Males,75–79,406
Actual,Melanoma of the skin,1996,Males,80–84,253
Actual,Melanoma of the skin,1996,Males,85–89,111
Actual,Melanoma of the skin,1996,Males,90+,38
Actual,Melanoma of the skin,1997,Males,00–04,1
Actual,Melanoma of the skin,1997,Males,05–09,2
Actual,Melanoma of the skin,1997,Males,10–14,10
Actual,Melanoma of the skin,1997,Males,15–19,37
Actual,Melanoma of the skin,1997,Males,20–24,91
Actual,Melanoma of the skin,1997,Males,25–29,148
Actual,Melanoma of the skin,1997,Males,30–34,185
Actual,Melanoma of the skin,1997,Males,35–39,239
Actual,Melanoma of the skin,1997,Males,40–44,290
Actual,Melanoma of the skin,1997,Males,45–49,422
Actual,Melanoma of the skin,1997,Males,50–54,476
Actual,Melanoma of the skin,1997,Males,55–59,427
Actual,Melanoma of the skin,1997,Males,60–64,432
Actual,Melanoma of the skin,1997,Males,65–69,545
Actual,Melanoma of the skin,1997,Males,70–74,601
Actual,Melanoma of the skin,1997,Males,75–79,430
