Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
(per 100,000)",ICD10 codes,Pop,Percent
Incidence,Melanoma of the skin,1982,Males,New South Wales,650,28.9,C43,2634534,0.024672295
Incidence,Melanoma of the skin,1983,Males,New South Wales,694,31.1,C43,2663858,0.02605244
Incidence,Melanoma of the skin,1984,Males,New South Wales,762,33.8,C43,2685607,0.028373474
Incidence,Melanoma of the skin,1985,Males,New South Wales,828,35.9,C43,2716617,0.030479085
Incidence,Melanoma of the skin,1986,Males,New South Wales,914,38.4,C43,2749467,0.033242807
Incidence,Melanoma of the skin,1987,Males,New South Wales,1105,45,C43,2788076,0.039633066
Incidence,Melanoma of the skin,1988,Males,New South Wales,1225,49.8,C43,2834126,0.043223202
Incidence,Melanoma of the skin,1989,Males,New South Wales,1216,48.3,C43,2874052,0.042309603
Incidence,Melanoma of the skin,1990,Males,New South Wales,1168,46.8,C43,2897622,0.040308915
Incidence,Melanoma of the skin,1991,Males,New South Wales,1152,44.9,C43,2929101,0.039329473
Incidence,Melanoma of the skin,1992,Males,New South Wales,1200,45.7,C43,2958748,0.040557695
Incidence,Melanoma of the skin,1993,Males,New South Wales,1428,54,C43,2979175,0.047932733
Incidence,Melanoma of the skin,1994,Males,New South Wales,1351,50.7,C43,3000720,0.045022528
Incidence,Melanoma of the skin,1995,Males,New South Wales,1421,52.4,C43,3025280,0.046970859
Incidence,Melanoma of the skin,1996,Males,New South Wales,1463,53.1,C43,3059051,0.04782529
Incidence,Melanoma of the skin,1997,Males,New South Wales,1635,57.1,C43,3094095,0.052842592
Incidence,Melanoma of the skin,1998,Males,New South Wales,1555,53.6,C43,3123941,0.049776868
Incidence,Melanoma of the skin,1999,Males,New South Wales,1650,55.4,C43,3155835,0.052284102
Incidence,Melanoma of the skin,2000,Males,New South Wales,1638,54,C43,3191864,0.051317976
Incidence,Melanoma of the skin,2001,Males,New South Wales,1759,56.8,C43,3233305,0.054402539
Incidence,Melanoma of the skin,2002,Males,New South Wales,1986,62.8,C43,3263556,0.060853866
Incidence,Melanoma of the skin,2003,Males,New South Wales,1897,59.5,C43,3281607,0.057807044
Incidence,Melanoma of the skin,2004,Males,New South Wales,2000,61.6,C43,3296562,0.060669267
Incidence,Melanoma of the skin,2005,Males,New South Wales,2056,62.5,C43,3313555,0.062048163
Incidence,Melanoma of the skin,2006,Males,New South Wales,2178,65.1,C43,3336005,0.065287672
